timestamp,missing_categories
2026-01-20 16:18:09,1% Milk
2026-01-20 16:18:19,1% Milk
2026-01-20 21:55:43,"1% Milk, Whole Milk, 2% Milk"
2026-01-20 21:55:53,"1% Milk, Whole Milk, 2% Milk"
2026-01-20 21:56:04,"1% Milk, Whole Milk, 2% Milk"
2026-01-20 21:56:14,"1% Milk, Whole Milk, 2% Milk"
2026-01-20 21:56:24,"1% Milk, Whole Milk, 2% Milk"
2026-01-20 21:58:28,"Whole Milk, 2% Milk, 1% Milk"
2026-01-20 22:08:37,"2% Milk, Whole Milk, 1% Milk"
2026-01-21 16:56:40,"2% Milk, Whole Milk, 1% Milk"
2026-01-22 01:16:26,2pct
2026-01-22 01:21:21,2pct
2026-01-22 01:27:01,2pct
